item_code,item_name,uom,item_group,description
VT269,"Sonde hút dịch số 12,14, 16, 18",Chiếc,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT260065,Sonde Nelaton,Cái,Vật tư tiêu hao,Hãng SX: Guangdong Ecan/ Trung Quốc | Nước SX: Trung Quốc
NT230164,Sonde Nelaton,Cái,Vật tư tiêu hao,Hãng SX: Hitec/Trung Quốc
NT0248,Sonde Nelaton,Cái,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
NT0159,Sonde Nelaton Mega / Trung Quốc,Chiếc,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT210110,Sonde nelaton(Thông tiểu một nhánh),Chiếc,Vật tư tiêu hao,Hãng SX: Greetmed/Trung Quốc
VT230086,Sonde nelaton(Thông tiểu một nhánh) 12Fr,Chiếc,Vật tư tiêu hao,Hãng SX: Hitec/Trung Quốc
VT0056,Sonde nelaton(Thông tiểu một nhánh) 12Fr,Chiếc,Vật tư tiêu hao,Hãng SX: Hitec
VT230085,Sông Foley (ống thông đường tiểu) 2 nhánh số 16,Cái,Vật tư tiêu hao,Hãng SX: Zhanjiang Star/Trung Quốc
VT0055,Sông Foley (ống thông đường tiểu) 2 nhánh số 16,Chiếc,Vật tư tiêu hao,"Hãng SX: Zhanjiang Star Enterprise Co.,Ltd"
2024MTKN1,Soyabean Casein Digest Agar,Lọ,Hóa chất,
HC0216,Soyabean casein medium,Chai,Hóa chất,
VT230096,Steranios 2%,Thùng,Vật tư tiêu hao,Hãng SX: Laboratoires Anios - Pháp
VT250013,Steranios 2%,Ml,Vật tư tiêu hao,Hãng SX: Laboratoires Anios | Nước SX: Pháp
HC18160,Synchron/AU Hemolyzing Reagent,Hộp,Hóa chất,
HC0020,Synchron/AU Hemolyzing Reagent,Hộp,Hóa chất,
2021HC33,System Calibrator,Lọ,Hóa chất,
HC18169,System Calibrator,Lọ,Hóa chất,
HC0027,System Calibrator,Lọ,Hóa chất,
2020HC40,System Calibrator,Lọ,Hóa chất,
HC18004,T3 CS ELECSYS KIT,Hộp,Hóa chất,
HC0057,T3 CS ELECSYS KIT,Hộp,Hóa chất,
HC0056,T3 RP ELECSYS KIT,test,Hóa chất,
HC18003,T3 RP ELECSYS KIT,test,Hóa chất,
HC0063,T4 CS GEN.2 ELEC,Hộp,Hóa chất,
HC18010,T4 CS GEN.2 ELEC,Hộp,Hóa chất,
HC18009,"T4 GEN.2 ELECSYS,COBAS E",test,Hóa chất,
HC0062,"T4 GEN.2 ELECSYS,COBAS E",test,Hóa chất,
VT0264,Tăm bông lấy bệnh phẩm,Chiếc,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT210098,Tăm bông lấy bệnh phẩm,Chiếc,Vật tư tiêu hao,Hãng SX: Henso Medical(Hangzhou)/Trung Quốc
VT270,Tăm bông lấy bệnh phẩm,Chiếc,Vật tư tiêu hao,Hãng SX: Trung Quốc
TH0232,Tăm bông lấy bệnh phẩm OPERSON,Cái,Vật tư tiêu hao,Hãng SX: Trung Quốc
NT210032,"Tấm điện cực dùng cho máy holter tim mạch Cardy 302 max Suzuken, 1 tấm/túi",Túi,Vật tư tiêu hao,Hãng SX: Indonesia
NT0085,"Tấm điện cực dùng cho máy Holter tim mạch Cardy 302 max, Hãng sản xuất: SUZUKEN/ Nhật Bản. Tấm điện cực xuất xứ: Indonesia. Quy cách: 01 tấm",Túi,Vật tư tiêu hao,"Tên đầy đủ: Tấm điện cực dùng cho máy Holter tim mạch Cardy 302 max, Hãng sản xuất: SUZUKEN/ Nhật Bản. Tấm điện cực xuất xứ: Indonesia. Quy cách: 01 tấm/ túi | Hãng SX: Nhật Bản"
NT240040,"Tấm điện cực kích thước 50x50mm,phụ kiện của máy điện phân dẫn thuốc IONO BASE+",Chiếc,Vật tư tiêu hao,Hãng SX: Led Spa/Italy
NT240041,"Tấm điện cực kích thước 80x120mm,phụ kiện của máy điện phân dẫn thuốc IONO BASE+",Chiếc,Vật tư tiêu hao,Hãng SX: Led Spa/Italy
VT0265,Tấm điện cực trung tính,Chiếc,Vật tư tiêu hao,Hãng SX: Evershine/Đài Lọan
VT271,Tấm điện cực trung tính,Chiếc,Vật tư tiêu hao,Hãng SX: Evershine/Đài Lọan
VT250059,Tấm trải nylon vô trùng,Cái,Vật tư tiêu hao,Hãng SX: Công ty TNHH Đầu tư và Thương mại An Lành | Nước SX: Việt Nam
VT0266,Tay dao mổ điện đơn cực,Chiếc,Vật tư tiêu hao,Hãng SX: Evershine/Đài Lọan
VT272,Tay dao mổ điện đơn cực,Chiếc,Vật tư tiêu hao,Hãng SX: Evershine/Đài Lọan
VT250056,Tay dao mổ điện dùng 1 lần,Cái,Vật tư tiêu hao,"Hãng SX: Baisheng Medical Co.,Ltd | Nước SX: Trung Quốc"
NT0219,Tay dao mổ điện/Taiwan/TQ,Cái,Vật tư tiêu hao,Hãng SX: Trung Quốc
VT0330,Tegaderm - film cỡ 6x8 cm,Miếng,Vật tư tiêu hao,Hãng SX: 3M/Mỹ
VT0331,Tegaderm - film cỡ 6x8 cm,Miếng,Vật tư tiêu hao,Hãng SX: 3M/Mỹ
VT273,Tem barcode 25x15 x 4 số,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
VT0267,Tem barcode 25x15 x 4 số,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
VT0268,Tem barcode 25x15 x 8 số,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
VT274,Tem barcode 25x15 x 8 số,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
VT210069,Tem barcode xét nghiệm 25mm x 15mm x 4 số x 4 tem,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
VT260007,Tem nhãn (45x22)mm x 50m,Cuộn,Vật tư tiêu hao,Hãng SX: OKAMI | Nước SX: Việt Nam
VT411,Tem xét nghiệm y tế 4 số 4 tem,Cuộn,Vật tư tiêu hao,Hãng SX: Việt Nam
TH0033,Tem xét nghiệm y tế 4 số 4 tem,Contem,Vật tư tiêu hao,Hãng SX: Việt Nam
VT275,Test hóa học kiểm soát tiệt trùng bằng hơi nước,test,Vật tư tiêu hao,Hãng SX: B.Braun
VT0269,Test hóa học kiểm soát tiệt trùng bằng hơi nước,test,Vật tư tiêu hao,Hãng SX: 3M/Mỹ
TH0200,Test hóa học kiểm soát tiệt trùng bằng hơi nước 1243A,Miếng,Vật tư tiêu hao,Hãng SX: 3M/Mỹ
NT240059,Test khí máu,test,Vật tư tiêu hao,Hãng SX: AbBộtt Point of Care - Canada
NT240012,Test khí máu động mạch,test,Vật tư tiêu hao,Hãng SX: AbBộtt Point of Care - Canada
VT0270,Test thử đường huyết,Hộp,Vật tư tiêu hao,Hãng SX: Ultra Tool/Mỹ
VT0306,Test thử đường huyết,Chiếc,Vật tư tiêu hao,Hãng SX: Ultra Tool/Mỹ
VT276,Test thử đường huyết,Hộp,Vật tư tiêu hao,Hãng SX: Ultra Tool/Mỹ
VT0314,Test thử đường huyết,test,Vật tư tiêu hao,Hãng SX: Khac
NT220007,Test xét nghiệm nhanh bộ 4 chất Morphine-Amphetamin-Metamphetamin-Cần sa trong nước tiểu-CiTest Diagnostics Inc-Canada,test,Vật tư tiêu hao,Hãng SX: CiTest Diagnostics Inc/Canada
NT210072,Test xét nghiệm nhanh kháng nguyên COVID-19 (Rapigen/Hàn Quốc),test,Vật tư tiêu hao,Hãng SX: Rapigen/Hàn Quốc
NT210017,Test xét nghiệm nhanh kháng nguyên COVID-19 (Test Biosynex COVID-19 Ag),test,Vật tư tiêu hao,Hãng SX: Pháp
